Dis No,Year,Seq,Disaster Group,DisasterSubgroup,Disaster Type,Disaster Subtype,value,Entry Criteria,Country,ISO,Region,Associated Dis,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,StartMonth,Start Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$)
2000-0311-AUT,2000,311,Natural,Meteorological,Storm,,1,SigDam,Austria,AUT,Western Europe,Hail,,,,,Kph,,,,,2000,5,27,,,,,,,,20000
2000-9537-BIH,2000,9537,Natural,Climatological,Drought,Drought,1,Affected,Bosnia and Herzegovina,BIH,Southern Europe,Heat wave,,,,,Km2,,,,,2000,8,,,,,,,,,158000
2000-0155-AUT,2000,155,Natural,Hydrological,Landslide,Avalanche,1,Kill,Austria,AUT,Western Europe,,,,,,,,,,,2000,3,28,13,,,,,,,
2000-0730-AUT,2000,730,Technological,Technological,Transport accident,Rail,1,Kill,Austria,AUT,Western Europe,,,,,,,,,,,2000,10,11,155,12,,,12,,,
2000-0029-BGR,2000,29,Natural,Meteorological,Extreme temperature,Cold wave,1,Declar/Int,Bulgaria,BGR,Eastern Europe,,,,,,?,,,,,2000,1,,,,,,,,,
2000-0382-BGR,2000,382,Natural,Meteorological,Extreme temperature,Heat wave,1,SigDis,Bulgaria,BGR,Eastern Europe,,,,,43,?,,,,,2000,6,,7,,,,,,,50
2000-0407-BGR,2000,407,Natural,Climatological,Wildfire,Forest fire,1,Declar/Int,Bulgaria,BGR,Eastern Europe,,,,,36,Km2,,,,,2000,7,1,7,17,,150,167,,,17600
2000-9788-BGR,2000,9788,Natural,Climatological,Drought,Drought,1,Affected,Bulgaria,BGR,Eastern Europe,,,,,,Km2,,,,,2000,3,,,,,,,,,
2000-0673-BIH,2000,673,Natural,Biological,Epidemic,Viral disease,1,Affect,Bosnia and Herzegovina,BIH,Southern Europe,,,,,,Vaccinated,,,,,2000,8,29,,,400,,400,,,
2000-0244-BIH,2000,244,Technological,Technological,Transport accident,Road,1,Kill,Bosnia and Herzegovina,BIH,Southern Europe,,,,,,,,,,,2000,5,13,44,11,,,11,,,
2000-0072-BIH,2000,72,Natural,Hydrological,Landslide,,1,Affect,Bosnia and Herzegovina,BIH,Southern Europe,,,,,,,,,,,2000,2,10,6,3,400,,403,,,
2000-0269-BLR,2000,269,Natural,Meteorological,Extreme temperature,Cold wave,1,SigDam,Belarus,BLR,Eastern Europe,,,,,,?,,,,,2000,5,,,,,,,,,30300
2000-0032-CHE,2000,32,Technological,Technological,Transport accident,Air,1,Kill,Switzerland,CHE,Western Europe,,,,,,,,,,,2000,1,10,10,,,,,,,
2000-0672-CHE,2000,672,Natural,Hydrological,Landslide,,1,Kill,Switzerland,CHE,Western Europe,,,,,,,,,,,2000,10,13,16,,1500,,1500,,165000,330000
2000-0167-CZE,2000,167,Natural,Hydrological,Flood,Riverine flood,1,Affect,Czech Republic (the),CZE,Eastern Europe,,,,,,Km2,,,,,2000,3,8,,,,,,,55000,80000
2000-0254-DEU,2000,254,Technological,Technological,Transport accident,Road,1,Kill,Germany,DEU,Western Europe,,,,,,,,,,,2000,5,17,11,,,,,,,
2000-0042-DEU,2000,42,Technological,Technological,Transport accident,Rail,1,Affect,Germany,DEU,Western Europe,,,,,,,,,,,2000,2,6,9,100,,,100,,,
2000-0759-DEU,2000,759,Technological,Technological,Miscellaneous accident,Explosion,1,Kill,Germany,DEU,Western Europe,,,,,,,,,,,2000,11,20,11,21,,,21,,,
2000-0480-RUS,2000,480,Natural,Geophysical,Earthquake,Ground movement,1,Affect,Russian Federation (the),RUS,Eastern Europe,"Slide (land, mud, snow, rock)",,,,7,Richter,48.786,142.246,1:14,,2000,8,4,,8,,19100,19108,,,920
2000-0714-GBR,2000,714,Natural,Meteorological,Storm,Convective storm,1,Affect,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,Flood,,,,150,Kph,,,,,2000,10,28,12,4,19500,,19504,,1100000,1500000
2000-0699-ESP,2000,699,Natural,Hydrological,Flood,Flash flood,1,Affect,Spain,ESP,Southern Europe,,,,,26690,Km2,,,,"Ebro, Palancia",2000,10,20,8,,500,,500,,,75000
2000-0384-ESP,2000,384,Technological,Technological,Transport accident,Road,1,Kill,Spain,ESP,Southern Europe,,,,,,,,,,,2000,7,6,27,11,,,11,,,
2000-0886-ESP,2000,886,Technological,Technological,Transport accident,Water,1,Kill,Spain,ESP,Southern Europe,,,,,,,,,,,2000,5,7,22,,,,,,,
2000-0039-ESP,2000,39,Technological,Technological,Miscellaneous accident,Collapse,1,Waiting,Spain,ESP,Southern Europe,,,,,,,,,,,2000,2,3,,163,,,163,,,
2000-0901-ESP,2000,901,Technological,Technological,Miscellaneous accident,Other,1,Affected,Spain,ESP,Southern Europe,,No,No,,,,,,,,2000,9,18,,158,,,158,,,
2000-0359-ESP,2000,359,Natural,Hydrological,Flood,,1,Affect,Spain,ESP,Southern Europe,,,,,,Km2,,,,,2000,6,10,16,,500,,500,,,
2000-0814-ESP,2000,814,Natural,Meteorological,Storm,,1,Waiting,Spain,ESP,Southern Europe,,,,,150,Kph,,,,,2000,12,5,7,2,,,2,,,
2000-0837-ESP,2000,837,Natural,Meteorological,Storm,,1,Waiting,Spain,ESP,Southern Europe,,,,,112,Kph,,,,,2000,12,29,7,,,,,,,
2000-0636-FRA,2000,636,Natural,Meteorological,Storm,Convective storm,1,Affect,France,FRA,Western Europe,,,,,100,Kph,,,,,2000,9,19,6,7,,200,207,,,
2000-0452-FRA,2000,452,Technological,Technological,Transport accident,Air,1,Kill,France,FRA,Western Europe,,,,,,,,,,,2000,7,25,114,12,,,12,,,
2000-0356-FRA,2000,356,Natural,Hydrological,Flood,,1,Affect,France,FRA,Western Europe,,,,,30,Km2,,,,,2000,6,10,1,,200,,200,,,
2000-0357-FRA,2000,357,Natural,Hydrological,Flood,,1,Declar/Int,France,FRA,Western Europe,,,,,,Km2,,,,,2000,5,,2,10,,,10,,,
2000-0775-FRA,2000,775,Natural,Hydrological,Flood,,1,Affect,France,FRA,Western Europe,,,,,,Km2,,,,,2000,7,10,1,,600,,600,,,
2000-0792-FRA,2000,792,Natural,Hydrological,Flood,,1,Affect,France,FRA,Western Europe,,,,,,Km2,,,,,2000,12,2,,,600,,600,,,
2000-0812-FRA,2000,812,Natural,Hydrological,Flood,,1,Declar/Int,France,FRA,Western Europe,,,,,,Km2,,,,,2000,12,13,,,600,,600,,,
2000-0870-FRA,2000,870,Natural,Hydrological,Flood,,1,Affect,France,FRA,Western Europe,,,,,,Km2,,,,,2000,11,,1,2,300,,302,,,
2000-0331-GBR,2000,331,Natural,Hydrological,Flood,Flash flood,1,Affect,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,,,,,,Km2,,,,,2000,6,,,,240,,240,,,18150
2000-0662-GBR,2000,662,Natural,Hydrological,Flood,Riverine flood,1,Affect,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,,,,,5300,Km2,,,,,2000,10,11,,,1000,,1000,,75000,5900000
2000-0248-GBR,2000,248,Natural,Hydrological,Flood,,1,Affect,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,,,,,,Km2,,,,,2000,4,27,,,200,,200,,,
2000-0842-GBR,2000,842,Natural,Meteorological,Storm,,1,Affect,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,,,,,144,Kph,,,,,2000,12,,4,,600,,600,,,
2000-0856-GBR,2000,856,Natural,Meteorological,Storm,,1,SigDis,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,,,,,,Kph,,,,,2000,12,27,,,,,,,,
2000-0303-GRC,2000,303,Natural,Geophysical,Earthquake,Ground movement,1,Affect,Greece,GRC,Southern Europe,,,,,6,Richter,38.922,20.64,,,2000,5,26,,,600,,600,,,
2000-0379-GRC,2000,379,Natural,Meteorological,Extreme temperature,Heat wave,1,Declar/Int,Greece,GRC,Southern Europe,,,,,44,?,,,,,2000,7,,27,176,,,176,,,3000
2000-0455-GRC,2000,455,Natural,Climatological,Wildfire,Forest fire,1,Affect,Greece,GRC,Southern Europe,,,,,115,Km2,,,,,2000,7,,2,12,,90,102,,,
2000-0529-GRC,2000,529,Natural,Climatological,Wildfire,Forest fire,1,Declar/Int,Greece,GRC,Southern Europe,,,,,,Km2,,,,,2000,8,24,7,7,,,7,,,
2000-0625-GRC,2000,625,Technological,Technological,Transport accident,Water,1,Kill,Greece,GRC,Southern Europe,,No,No,,,,,,,,2000,9,27,76,18,,,18,,,
2000-0914-GRC,2000,914,Technological,Technological,Transport accident,Water,1,Kill,Greece,GRC,Southern Europe,,No,No,,,,,,,,2000,8,26,24,,,,,,,
2000-0708-GRC,2000,708,Natural,Hydrological,Flood,,1,Affect,Greece,GRC,Southern Europe,,,,,,Km2,,,,,2000,10,31,,,600,,600,,,
2000-0742-GRC,2000,742,Natural,Hydrological,Flood,,1,Affect,Greece,GRC,Southern Europe,,,,,,Km2,,,,,2000,11,19,1,,6000,,6000,,,
2000-0868-HRV,2000,868,Natural,Hydrological,Flood,Riverine flood,1,Declar/Int,Croatia,HRV,Southern Europe,,,Yes,,,Km2,,,,Neretva,2000,12,28,,,600,,600,,,
2000-0324-HRV,2000,324,Natural,Meteorological,Extreme temperature,Heat wave,1,Kill,Croatia,HRV,Southern Europe,,,,,35,?,,,,,2000,6,,40,200,,,200,,,240000
2000-0528-HRV,2000,528,Natural,Climatological,Wildfire,Forest fire,1,Declar/Int,Croatia,HRV,Southern Europe,,,,,203,Km2,,,,,2000,8,,1,,,,,,,17750
2000-0191-HUN,2000,191,Natural,Hydrological,Flood,Riverine flood,1,Affect,Hungary,HUN,Eastern Europe,,,,83,2500,Km2,,,,,2000,4,6,1,,2000,,2000,,,55000
2000-0123-HUN,2000,123,Technological,Technological,Industrial accident,Chemical spill,1,Waiting,Hungary,HUN,Eastern Europe,,No,No,,,m3,,,,,2000,1,30,,,,,,,,
2000-0488-IRL,2000,488,Natural,Biological,Epidemic,Viral disease,1,Affect,Ireland,IRL,Northern Europe,,No,No,,,Vaccinated,,,,,2000,1,1,2,,1374,,1374,,,
2000-0679-IRL,2000,679,Natural,Meteorological,Storm,,1,Regional,Ireland,IRL,Northern Europe,,,,,,Kph,,,,,2000,11,,1,,,,,,47000,100000
2000-0076-ISL,2000,76,Natural,Geophysical,Earthquake,Ground movement,1,Affect,Iceland,ISL,Northern Europe,,,,,7,Richter,63.98,-20.758,,,2000,6,21,,,72,36,108,,,12000
2000-0335-ISL,2000,335,Natural,Geophysical,Earthquake,Ground movement,1,SigDis,Iceland,ISL,Northern Europe,,,,,7,Richter,63.966,-20.487,,,2000,6,17,,1,57,33,91,,,12000
2000-0671-ITA,2000,671,Natural,Hydrological,Flood,Flash flood,1,Kill,Italy,ITA,Southern Europe,,,,,,Km2,,,,Po and Ticino,2000,10,14,25,,43000,,43000,,300000,8000000
2000-0577-ITA,2000,577,Natural,Hydrological,Flood,Riverine flood,1,Kill,Italy,ITA,Southern Europe,,,,,,Km2,,,,,2000,9,10,16,22,,,22,,,
2000-0070-ITA,2000,70,Technological,Technological,Transport accident,Water,1,Kill,Italy,ITA,Southern Europe,,No,No,,,,,,,,2000,2,14,13,,,,,,,
2000-0632-ITA,2000,632,Natural,Hydrological,Flood,,1,Affect,Italy,ITA,Southern Europe,,,,,,Km2,,,,,2000,9,20,,,1000,,1000,,,
2000-0752-ITA,2000,752,Natural,Hydrological,Flood,,1,Declar/Int,Italy,ITA,Southern Europe,,,,,,Km2,,,,,2000,11,20,5,,2000,,2000,,,50000
2000-0566-LVA,2000,566,Natural,Biological,Epidemic,Bacterial disease,1,Kill,Latvia,LVA,Northern Europe,,,,,,Vaccinated,,,,,2000,8,21,,,102,,102,,,
2000-0807-MDA,2000,807,Natural,Meteorological,Storm,Convective storm,1,Affected,Moldova (the Republic of),MDA,Eastern Europe,,,,2761,,Kph,,,,,2000,11,26,,,2600000,,2600000,,,31600
2000-9318-MDA,2000,9318,Natural,Climatological,Drought,Drought,1,Affected,Moldova (the Republic of),MDA,Eastern Europe,,,,,,Km2,,,,,2000,5,,2,,,,,,,
2000-0639-MKD,2000,639,Natural,Climatological,Wildfire,Forest fire,1,SigDam,Macedonia (the former Yugoslav Republic of),MKD,Southern Europe,,,,,160,Km2,,,,,2000,8,,,,,,,,,13563
2000-0247-NLD,2000,247,Technological,Technological,Miscellaneous accident,Explosion,1,Kill,Netherlands (the),NLD,Western Europe,,,,,,,,,,,2000,5,13,25,1000,2000,,3000,,,256000
2000-0024-NOR,2000,24,Technological,Technological,Transport accident,Rail,1,Kill,Norway,NOR,Northern Europe,,No,No,,,,,,,,2000,1,4,19,30,,,30,,,
2000-0688-NOR,2000,688,Natural,Hydrological,Flood,,1,Affect,Norway,NOR,Northern Europe,,,,,,Km2,,,,,2000,10,11,,,600,,600,,,
2000-0830-POL,2000,830,Natural,Meteorological,Extreme temperature,Cold wave,1,Kill,Poland,POL,Eastern Europe,,,,,-23,?,,,,,2000,12,,84,,,,,,,
2000-0813-PRT,2000,813,Natural,Meteorological,Storm,,1,Waiting,Portugal,PRT,Southern Europe,,,,,100,Kph,,,,,2000,12,6,4,10,,60,70,,,
2000-0028-ROU,2000,28,Natural,Meteorological,Storm,Convective storm,1,Kill,Romania,ROU,Eastern Europe,,,,,,Kph,,,,,2000,1,,14,,,300,300,,,
2000-0167-ROU,2000,167,Natural,Hydrological,Flood,Riverine flood,1,Affect,Romania,ROU,Eastern Europe,,,,,,Km2,,,,,2000,3,,,,3000,,3000,,,500
2000-0187-ROU,2000,187,Natural,Hydrological,Flood,Riverine flood,1,Affect,Romania,ROU,Eastern Europe,,,,536,932,Km2,,,,"Lapus, Cavnis, Iza, Viseu, Tisa, Cris, Olt, Mures, Somes, Bega, Crisul Alb, Tirnava Mica, and Timis",2000,4,5,9,,60000,431,60431,,,100000
2000-0380-ROU,2000,380,Natural,Meteorological,Extreme temperature,Heat wave,1,Affect,Romania,ROU,Eastern Europe,,,,,43,?,,,,,2000,7,,6,100,,,100,,,
2000-0123-ROU,2000,123,Technological,Technological,Industrial accident,Chemical spill,1,Waiting,Romania,ROU,Eastern Europe,,No,No,,100000,m3,,,,"Lapus, Szamos rivers",2000,1,30,,,,,,,,
2000-0124-ROU,2000,124,Technological,Technological,Industrial accident,Chemical spill,1,Waiting,Romania,ROU,Eastern Europe,,,,,,m3,,,,,2000,3,10,,,,,,,,
2000-9328-ROU,2000,9328,Natural,Climatological,Drought,Drought,1,Affected,Romania,ROU,Eastern Europe,,,,,26000,Km2,,,,,2000,6,,,,,,,,,500000
2000-0354-RUS,2000,354,Natural,Hydrological,Flood,Coastal flood,1,Affect,Russian Federation (the),RUS,Eastern Europe,,,,,,Km2,,,,,2000,8,,,,6000,,6000,,,7000
2000-0549-RUS,2000,549,Natural,Hydrological,Flood,Coastal flood,1,Affect,Russian Federation (the),RUS,Eastern Europe,,,,,,Km2,,,,,2000,8,28,,,1181,,1181,,,1622
2000-0202-RUS,2000,202,Natural,Hydrological,Flood,Riverine flood,1,Affect,Russian Federation (the),RUS,Eastern Europe,,,,,,Km2,,,,,2000,4,14,1,,23000,,23000,,,
2000-0478-RUS,2000,478,Natural,Hydrological,Flood,Riverine flood,1,Affect,Russian Federation (the),RUS,Eastern Europe,,,,,192100,Km2,,,,,2000,7,30,2,,24000,,24000,,,30000
2000-0164-RUS,2000,164,Natural,Hydrological,Landslide,Avalanche,1,Kill,Russian Federation (the),RUS,Eastern Europe,,,,,,,,,,,2000,1,19,20,,,,,,,
2000-0576-RUS,2000,576,Natural,Meteorological,Storm,Tropical cyclone,1,Affect,Russian Federation (the),RUS,Eastern Europe,,,,,,Kph,,,,,2000,9,13,9,,,,,,,50
2000-0165-RUS,2000,165,Natural,Meteorological,Extreme temperature,Cold wave,1,Kill,Russian Federation (the),RUS,Eastern Europe,,,,,,?,,,,,2000,2,,13,252,,,252,,,
2000-0277-RUS,2000,277,Natural,Meteorological,Extreme temperature,Cold wave,1,Waiting,Russian Federation (the),RUS,Eastern Europe,,,,,-9,?,,,,,2000,5,13,,,,,,,,
2000-0705-RUS,2000,705,Natural,Meteorological,Extreme temperature,Cold wave,1,Kill,Russian Federation (the),RUS,Eastern Europe,,,,,-7,?,,,,,2000,10,10,232,94,,,94,,,
2000-0218-RUS,2000,218,Natural,Climatological,Wildfire,Forest fire,1,Declar/Int,Russian Federation (the),RUS,Eastern Europe,,,,,250,Km2,,,,,2000,7,,,,,,,,,
2000-0231-RUS,2000,231,Natural,Climatological,Wildfire,Forest fire,1,SigDis,Russian Federation (the),RUS,Eastern Europe,,,,,930,Km2,,,,,2000,5,,,,,,,,,
2000-0295-RUS,2000,295,Natural,Climatological,Wildfire,Forest fire,1,SigDis,Russian Federation (the),RUS,Eastern Europe,,,,,1000,Km2,,,,,2000,7,,,,,,,,,
2000-0514-RUS,2000,514,Natural,Climatological,Wildfire,Forest fire,1,SigDis,Russian Federation (the),RUS,Eastern Europe,,,,,120,Km2,,,,,2000,6,,,,,,,,,
2000-0553-RUS,2000,553,Natural,Climatological,Wildfire,Forest fire,1,Waiting,Russian Federation (the),RUS,Eastern Europe,,,,,400,Km2,,,,,2000,6,19,,,,,,,,
2000-0052-RUS,2000,52,Natural,Biological,Epidemic,Viral disease,1,Affect,Russian Federation (the),RUS,Eastern Europe,,,,,,Vaccinated,,,,,2000,1,,,,564,,564,,,
2000-0284-RUS,2000,284,Natural,Biological,Epidemic,Viral disease,1,Affect,Russian Federation (the),RUS,Eastern Europe,,,,,,Vaccinated,,,,,2000,1,,,,124,,124,,,
2000-0710-RUS,2000,710,Natural,Biological,Epidemic,Viral disease,1,Affect,Russian Federation (the),RUS,Eastern Europe,,,,,,Vaccinated,,,,,2000,9,,,,2000,,2000,,,
2000-0864-RUS,2000,864,Natural,Biological,Epidemic,Viral disease,1,Affect,Russian Federation (the),RUS,Eastern Europe,,,,,,Vaccinated,,,,,2000,12,,,,154,,154,,,
2000-0437-RUS,2000,437,Technological,Technological,Transport accident,Air,1,Kill,Russian Federation (the),RUS,Eastern Europe,,,,,,,,,,,2000,7,21,19,,,,,,,
2000-0587-RUS,2000,587,Technological,Technological,Transport accident,Road,1,Kill,Russian Federation (the),RUS,Eastern Europe,,,,,,,,,,,2000,9,17,13,,,,,,,
2000-0521-RUS,2000,521,Technological,Technological,Transport accident,Water,1,Kill,Russian Federation (the),RUS,Eastern Europe,,No,No,,,,,,,,2000,8,13,108,,,,,,,
2000-0049-RUS,2000,49,Technological,Technological,Miscellaneous accident,Explosion,1,Kill,Russian Federation (the),RUS,Eastern Europe,,No,No,,,,,,,,2000,2,8,13,9,,,9,,,
2000-0180-RUS,2000,180,Technological,Technological,Industrial accident,Explosion,1,Kill,Russian Federation (the),RUS,Eastern Europe,,,,,,m3,,,,,2000,3,22,12,,,,,,,
2000-0897-RUS,2000,897,Technological,Technological,Miscellaneous accident,Other,1,Affected,Russian Federation (the),RUS,Eastern Europe,,No,No,,,,,,,,2000,6,9,,172,,,172,,,
2000-0899-RUS,2000,899,Technological,Technological,Miscellaneous accident,Other,1,Kill,Russian Federation (the),RUS,Eastern Europe,,No,No,,,,,,,,2000,7,15,24,202,,,202,,,
2001-0040-PRT,2001,40,Natural,Hydrological,Flood,Riverine flood,1,Affect,Portugal,PRT,Southern Europe,"Slide (land, mud, snow, rock)",,,,10600,Km2,,,,Douro and Mondego. Tagus River,2001,1,26,6,,,200,200,,,
2001-0002-ESP,2001,2,Technological,Technological,Transport accident,Road,1,Kill,Spain,ESP,Southern Europe,,No,No,,,,,,,,2001,1,3,11,2,,,2,,,
2001-0081-ESP,2001,81,Technological,Technological,Transport accident,Water,1,Kill,Spain,ESP,Southern Europe,,No,No,,,,,,,,2001,2,27,11,,,,,,,
2001-0066-FRA,2001,66,Natural,Hydrological,Flood,Flash flood,1,Affect,France,FRA,Western Europe,,,,,,Km2,,,,,2001,1,5,,,390,,390,,,
2001-0031-GRC,2001,31,Natural,Hydrological,Flood,,1,Kill,Greece,GRC,Southern Europe,,,,,,Km2,,,,,2001,1,,11,,450,,450,,,
2001-0016-ITA,2001,16,Natural,Hydrological,Flood,Riverine flood,1,Waiting,Italy,ITA,Southern Europe,,,,,,Km2,,,,,2001,1,,,,,,,,,
2001-0003-NLD,2001,3,Technological,Technological,Miscellaneous accident,Fire,1,Kill,Netherlands (the),NLD,Western Europe,,,,,,,,,,,2001,1,1,9,180,,,180,,,
2001-0078-PRT,2001,78,Technological,Technological,Miscellaneous accident,Collapse,1,Kill,Portugal,PRT,Southern Europe,,,,,,,,,,,2001,3,4,70,,,,,,,
2001-0079-ROU,2001,79,Natural,Hydrological,Flood,Riverine flood,1,Affect,Romania,ROU,Eastern Europe,,,,63,124,Km2,,,,Somes and Viseu Rivers,2001,3,4,,,4000,,4000,,,15000
